Time,max capacity,pod_1,pod_2,pod_3,pod_4,pod_6,pod_7,pod_9,pod_10,pod_11,pod_12,pod_13,pod_15,pod_16,pod_17,pod_18,pod_19,pod_20,pod_21,pod_22,pod_23,pod_24,pod_25,pod_26,pod_27,pod_28,pod_29,pod_30,pod_31,pod_32,pod_33,pod_34,pod_35,pod_36,pod_37,pod_38,pod_39,pod_40,pod_41,pod_42,pod_43,pod_44,pod_45,pod_46,pod_47,pod_48,pod_49,pod_50,pod_51,pod_52,pod_53,pod_54,pod_55,pod_56,pod_57,pod_58,pod_59,pod_60,pod_61
2025-12-07 09:20:00,61.8 GiB,3.31 GiB,2.73 MiB,,,,,,4.53 GiB,,,,,,,,,,,,1.22 GiB,25.3 MiB,66.1 MiB,8.44 GiB,18.5 MiB,559 MiB,19.0 MiB,2.51 GiB,2.88 MiB,266 MiB,140 MiB,556 MiB,159 MiB,162 MiB,533 MiB,175 MiB,168 MiB,29.4 MiB,187 MiB,10.2 MiB,24.5 MiB,91.4 MiB,103 MiB,538 MiB,13.2 MiB,25.0 MiB,59.5 MiB,70.1 MiB,44.4 MiB,44.0 MiB,609 MiB,893 MiB,907 MiB,900 MiB,788 MiB,33.1 MiB,123 MiB,34.6 MiB,9.58 MiB
2025-12-07 09:22:00,61.8 GiB,3.31 GiB,2.73 MiB,,,,,,4.53 GiB,,,,,,,,,,,,1.22 GiB,24.6 MiB,66.1 MiB,8.44 GiB,3.08 MiB,560 MiB,19.0 MiB,2.51 GiB,2.88 MiB,266 MiB,140 MiB,574 MiB,159 MiB,162 MiB,533 MiB,175 MiB,168 MiB,29.1 MiB,186 MiB,9.87 MiB,25.2 MiB,92.1 MiB,101 MiB,538 MiB,11.6 MiB,25.8 MiB,59.5 MiB,70.1 MiB,44.4 MiB,44.0 MiB,603 MiB,893 MiB,905 MiB,902 MiB,747 MiB,33.1 MiB,123 MiB,34.6 MiB,9.65 MiB
2025-12-07 09:24:00,61.8 GiB,3.31 GiB,2.73 MiB,,,,,,4.53 GiB,,,,,,,,,,,,1.22 GiB,24.9 MiB,66.1 MiB,8.44 GiB,23.2 MiB,570 MiB,19.0 MiB,2.51 GiB,2.88 MiB,266 MiB,140 MiB,591 MiB,159 MiB,162 MiB,533 MiB,175 MiB,168 MiB,29.3 MiB,186 MiB,9.72 MiB,24.8 MiB,91.1 MiB,101 MiB,538 MiB,12.9 MiB,25.8 MiB,59.5 MiB,70.1 MiB,44.4 MiB,44.0 MiB,602 MiB,891 MiB,903 MiB,897 MiB,793 MiB,33.1 MiB,123 MiB,34.7 MiB,9.58 MiB
2025-12-07 09:26:00,61.8 GiB,3.31 GiB,2.73 MiB,,,,,,4.53 GiB,,,,,,,,,,,,1.22 GiB,23.1 MiB,66.1 MiB,8.44 GiB,18.1 MiB,585 MiB,19.2 MiB,2.51 GiB,2.88 MiB,266 MiB,140 MiB,611 MiB,159 MiB,162 MiB,533 MiB,175 MiB,168 MiB,29.5 MiB,186 MiB,9.81 MiB,23.0 MiB,91.7 MiB,101 MiB,538 MiB,12.4 MiB,25.9 MiB,59.5 MiB,70.1 MiB,44.4 MiB,44.0 MiB,603 MiB,892 MiB,900 MiB,896 MiB,793 MiB,33.1 MiB,123 MiB,34.9 MiB,9.58 MiB
2025-12-07 09:28:00,61.8 GiB,3.31 GiB,2.73 MiB,,,,,,4.53 GiB,,,,,,,,,,,,1.22 GiB,23.9 MiB,66.1 MiB,8.44 GiB,3.07 MiB,613 MiB,19.1 MiB,2.51 GiB,2.88 MiB,266 MiB,140 MiB,633 MiB,159 MiB,162 MiB,312 MiB,175 MiB,168 MiB,29.7 MiB,186 MiB,9.82 MiB,24.7 MiB,91.7 MiB,102 MiB,538 MiB,12.6 MiB,25.9 MiB,59.5 MiB,70.1 MiB,44.4 MiB,44.0 MiB,609 MiB,892 MiB,900 MiB,902 MiB,794 MiB,33.1 MiB,123 MiB,34.9 MiB,9.58 MiB
2025-12-07 09:30:00,61.8 GiB,3.31 GiB,2.73 MiB,,,,,,4.53 GiB,,,,,,,,,,,,1.22 GiB,24.9 MiB,66.1 MiB,8.44 GiB,11.8 MiB,606 MiB,19.0 MiB,2.51 GiB,2.88 MiB,266 MiB,140 MiB,156 MiB,159 MiB,162 MiB,312 MiB,175 MiB,168 MiB,29.9 MiB,186 MiB,9.94 MiB,24.3 MiB,88.9 MiB,102 MiB,538 MiB,12.0 MiB,25.9 MiB,59.5 MiB,70.1 MiB,44.4 MiB,44.0 MiB,608 MiB,892 MiB,901 MiB,902 MiB,794 MiB,33.1 MiB,123 MiB,34.9 MiB,9.58 MiB
2025-12-07 09:32:00,61.8 GiB,3.31 GiB,2.73 MiB,,,,,,4.53 GiB,,,,,,,,,,,,1.22 GiB,23.2 MiB,66.5 MiB,8.44 GiB,3.62 MiB,599 MiB,19.0 MiB,2.51 GiB,2.87 MiB,266 MiB,140 MiB,156 MiB,337 MiB,284 MiB,312 MiB,175 MiB,168 MiB,29.7 MiB,186 MiB,9.70 MiB,24.7 MiB,90.7 MiB,102 MiB,538 MiB,12.8 MiB,25.8 MiB,59.5 MiB,70.1 MiB,44.4 MiB,44.0 MiB,605 MiB,892 MiB,901 MiB,902 MiB,647 MiB,33.1 MiB,123 MiB,34.9 MiB,9.58 MiB
2025-12-07 09:34:00,61.8 GiB,3.31 GiB,2.73 MiB,,,,,,4.53 GiB,,,,,,,,,,,,1.22 GiB,24.4 MiB,66.1 MiB,8.44 GiB,3.04 MiB,604 MiB,19.0 MiB,2.51 GiB,2.87 MiB,266 MiB,140 MiB,156 MiB,373 MiB,375 MiB,312 MiB,175 MiB,168 MiB,29.6 MiB,186 MiB,9.84 MiB,25.2 MiB,90.3 MiB,103 MiB,538 MiB,12.9 MiB,24.9 MiB,59.5 MiB,70.1 MiB,44.4 MiB,44.0 MiB,605 MiB,889 MiB,906 MiB,901 MiB,770 MiB,33.1 MiB,123 MiB,34.9 MiB,9.58 MiB
2025-12-07 09:36:00,61.8 GiB,3.31 GiB,2.73 MiB,,,,,,4.53 GiB,,,,,,,,,,,,1.22 GiB,22.7 MiB,66.1 MiB,8.44 GiB,14.8 MiB,604 MiB,19.0 MiB,2.51 GiB,2.87 MiB,266 MiB,140 MiB,156 MiB,413 MiB,388 MiB,312 MiB,175 MiB,168 MiB,29.7 MiB,187 MiB,9.57 MiB,24.4 MiB,90.2 MiB,100 MiB,538 MiB,12.7 MiB,25.9 MiB,59.5 MiB,70.1 MiB,44.4 MiB,44.0 MiB,605 MiB,889 MiB,906 MiB,900 MiB,648 MiB,33.1 MiB,123 MiB,34.9 MiB,9.59 MiB
2025-12-07 09:38:00,61.8 GiB,3.31 GiB,2.73 MiB,,,,,,4.53 GiB,,,,,,,,,,,,1.22 GiB,23.5 MiB,66.1 MiB,8.44 GiB,2.76 MiB,576 MiB,18.9 MiB,2.51 GiB,2.87 MiB,266 MiB,140 MiB,156 MiB,439 MiB,414 MiB,312 MiB,175 MiB,168 MiB,29.6 MiB,187 MiB,10.1 MiB,25.1 MiB,90.3 MiB,102 MiB,538 MiB,13.1 MiB,25.9 MiB,59.5 MiB,70.1 MiB,44.4 MiB,44.0 MiB,603 MiB,889 MiB,906 MiB,900 MiB,771 MiB,33.1 MiB,123 MiB,34.9 MiB,9.58 MiB
